Density,DT,GR,RT,UCS
2.3797,97.20359499,88.3378714,14.48212308,25.68198256
2.372465425,97.57582316,86.66758013,15.82019222,25.27180751
2.385469108,97.57569598,86.59664714,16.91497165,26.17010631
2.394571693,97.30483428,88.50426473,17.64484079,27.14461689
2.402373889,96.95516917,92.17760479,18.2530408,27.7420709
2.40234,96.71863176,95.06381097,18.2530408,27.86330092
2.404324474,96.71863176,93.69650981,18.00975109,27.51752535
2.39233,96.83425636,91.65282943,17.64484079,26.84411342
2.397822596,96.99512377,93.26089807,17.27993049,26.39465185
2.387419693,97.16061526,98.21237567,17.03664077,26.58098888
2.375716328,97.29011213,103.7223712,16.55006135,26.84380125
2.368564328,97.29011213,109.4947835,16.42844076,27.05257615
2.35899,96.94167021,128.3862301,17.03664077,29.76321405
2.356861035,96.31732341,130.4852732,17.15826136,35.15289023
2.354973733,95.57570018,126.8677604,17.64484079,35.60203963
2.351682403,94.86374624,122.8762345,18.2530408,35.60203963
2.348408645,94.28167639,118.2597857,18.00975109,34.9097336
2.345943649,93.91802275,111.8562144,18.00975109,33.58089649
2.342556962,93.86131738,103.9847589,17.76650991,32.29869756
2.339398281,94.05489708,99.57708791,17.64484079,31.49992753
2.351659547,93.86131738,96.37569106,17.27993049,31.55978249
2.38026762,92.79710156,91.39047091,17.40155108,32.6376953
2.3834,91.57542507,86.92996781,17.5232202,34.03004589
2.391970986,91.03121014,85.09331235,18.13142021,34.70374083
2.388720084,91.28971404,89.02901094,18.13142021,33.69324426
2.379617498,92.25914856,94.01426025,18.13142021,32.00890274
2.351009352,93.68920864,94.80142329,18.2530408,30.72593925
2.341256571,95.28996,93.54028753,18.13142021,29.08948995
2.335404962,96.71863176,91.39047091,18.00975109,26.61922655
2.335404962,97.55499819,88.60058086,18.00975109,25.12519921
2.334445803,97.86156334,84.83092467,17.5232202,24.59811256
2.343857352,97.81911202,80.10806304,17.76650991,24.5397025
2.369214523,97.5459858,77.48424455,17.64484079,25.04723281
2.379839842,97.14491546,81.41997229,18.00975109,26.18538088
2.378967303,96.71863176,86.66758013,18.00975109,27.29295065
2.376366523,96.36309461,90.07856166,18.00975109,27.7420709
2.366613815,96.14718055,90.34092019,18.00975109,27.70970538
2.355560645,96.11205907,89.31042536,17.8881305,27.37025961
2.345807864,96.21515491,87.98824034,17.8881305,26.84380125
2.336705279,96.39295661,86.92996781,17.8881305,26.25607778
2.330853669,96.58195271,86.44781986,17.76650991,25.75555592
2.334754767,96.71863176,85.88044624,17.64484079,25.49638221
2.343857352,96.74556811,84.52291053,17.64484079,25.59236286
2.352309742,96.62967938,82.46949386,17.64484079,25.99594278
2.364013035,96.34396899,80.54315678,17.64484079,26.61922655
2.37311562,95.86144036,81.68235997,18.13142021,27.46077131
2.373765815,95.14873271,86.4052216,18.13142021,28.8649444
2.370832312,94.14702841,87.19235549,17.76650991,30.66148369
2.366613815,92.96823851,87.19235549,17.64484079,31.11063309
2.361716893,92.43264562,87.65536809,18.13142021,31.11063309
2.355560645,93.1459347,88.50426473,17.8881305,31.11063309
2.346458059,94.14702841,89.94553191,17.76650991,29.76321405
2.333454376,94.36666398,93.22712636,17.64484079,30.43690899
2.326604608,93.86959916,97.94998799,17.15826136,31.55978249
2.323701596,93.00409683,98.99950956,16.67173047,31.55978249
2.319720732,92.08453024,99.26189724,16.18515105,32.23347744
2.31459901,91.28971404,98.26571284,15.82019222,33.35632179
2.310145741,90.76090494,96.66943086,15.21199221,33.80547119
2.310697913,90.62468647,95.85094486,14.6037922,33.80547119
2.317849986,91.00397385,96.87131713,14.2388819,32.68262684
2.323028214,91.95782106,99.52428492,13.99559219,32.00890274
2.327602693,93.28983702,102.6728496,13.99559219,31.78432804
2.334104571,94.4327686,103.8212377,13.87392306,31.51425527
2.338035387,94.14702841,104.2471465,13.99559219,31.33520779
2.339306059,93.28983702,105.0342804,14.36050249,31.47206212
2.339306059,93.28983702,103.7223712,13.75230247,31.85883784
2.338651699,93.26160923,102.3577277,14.48212308,32.35684034
2.337355474,92.97064295,101.8857157,14.11721278,32.82737496
2.3357711,92.52234936,102.4051932,14.36050249,33.13174709
2.336055084,92.02213967,103.3493029,14.72541279,33.21663313
2.340606376,91.57542507,103.9847589,15.57690251,33.37019369
2.349058767,91.26530789,104.2471465,15.69857163,33.96596041
2.354910449,91.08565499,105.9780774,16.06348193,35.37746493
2.35751123,91.00802431,108.6101973,16.55006135,37.17400423
2.359171842,91.00397385,110.8066928,16.79335106,37.17400423
2.358161352,91.05609956,111.2838067,17.15826136,37.25099961
2.353610059,91.19114941,108.9700082,17.5232202,36.72488398
2.348408645,91.44690932,103.4600127,18.00975109,34.47916613
